"Cyberincidentnum","Dyadpair","StateA","StateB","Name","interactionstartdate","interactionenddate","method","targettype","initiator","cyber_objective","information_operation","objective_achievement","Concession","3rdpartyinitiator","severity","damage type","Crit Inf","Supply Ch","Ransomware","Political Objective","Sources1","Sources2","Sources3","Sources4","Sources5","Justice","Cert","FBI"
394,731740,"N Korea","Japan","Fourth of July_C",2009-07-04,2009-07-07,2,2,731,1,0,1,0,0,2,1,11,0,0,"DDoS disruptive events on governmental and private websites.","https://www.csmonitor.com/Technology/Horizons/2009/0708/north-korean-hackers-blamed-for-sweeping-cyber-attack-on-us-networks","https://www.nytimes.com/2009/07/09/technology/09cyber.html?mtrref=www.google.com&gwh=446A2A35F5DC5847A2B1F4A3E31B4D00&gwt=pay",NA,NA,NA,NA,NA,NA
400,732740,"S Korea","Japan","Dark Hotel_B",2008-01-01,2014-11-09,3,2,732,2,0,1,0,0,4,2,12,1,0,"Information theft from South Korea that targeted executives working in the nuclear industry","https://attack.mitre.org/groups/G0012/","https://www.wired.com/2014/11/darkhotel-malware/","https://www.trendmicro.com/vinfo/pl/security/news/cybercrime-and-digital-threats/darkhotel-malware-emphasizes-the-importance-of-using-secure-networks-while-travelling",NA,NA,NA,NA,NA
401,732740,"S Korea","Japan","SK hack",2010-03-01,2010-03-01,2,2,732,1,1,1,0,0,2,1,11,0,0,"DDoS commemoration of Korean Independence Day","https://www.refworld.org/pdfid/4d3025492.pdf","https://www.akamai.com/cn/zh/multimedia/documents/state-of-the-internet/akamai-q1-2008-state-of-the-internet-connectivity-report.pdf",NA,NA,NA,NA,NA,NA
403,732740,"S Korea","Japan","Earthquake hack",2011-03-11,2011-03-14,3,2,732,2,0,1,0,1,3,1,11,0,0,"Data breaches during network vulneralbility in the aftermath of earthquake","https://us-cert.cisa.gov/ncas/current-activity/2011/03/11/Japan-Earthquake-and-Tsunami-Disaster-Email-Scams-Fake-Antivirus","http://www.spamfighter.com/News-16051-Japanese-Earthquake-Paves-Way-for-Several-Kinds-of-Cyber-Attacks.htm","https://www.siliconrepublic.com/enterprise/cyber-criminals-exploit-japan-earthquake-with-seo-attacks",NA,NA,NA,NA,NA
414,750770,"India","Pakistan","ICID defacement",2011-10-01,2011-10-01,1,2,770,1,1,1,0,0,2,1,11,0,0,"Retaliation for the deaths of civilians in Jammu and Kashmir in Indian security crackdown.","https://www.researchgate.net/publication/326866504_Regional_rivalry_between_India-Pakistan_tit-for-tat_in_cyberspace",NA,NA,NA,NA,NA,NA,NA
415,750770,"India","Pakistan","2016 Crimson RAT",2012-06-01,2016-02-11,3,3,770,3,0,1,0,0,3,2,11,0,0,"Pakistan phishing attempts against Indian Military","https://www.proofpoint.com/sites/default/files/proofpoint-operation-transparent-tribe-threat-insight-en.pdf","https://www.bleepingcomputer.com/news/security/nation-backed-hackers-spread-crimson-rat-via-coronavirus-phishing/",NA,NA,NA,NA,NA,NA
416,750770,"India","Pakistan","Tranchulas incident",2013-02-01,2013-07-02,4.2,3,770,2,0,1,0,0,3,1,11,1,0,"Retaliatory event coinciding with the wider upsurge in hostilities in response to the ceasefire violations in Kashmir","https://threatconnect.com/blog/where-there-is-smoke-there-is-fire-south-asian-cyber-espionage-heats-up/","https://www.darkreading.com/attacks-breaches/pakistan-the-latest-cyberspying-nation/d/d-id/1298109",NA,NA,NA,NA,NA,NA
417,750770,"India","Pakistan","Telenor Pakistan incident",2013-03-17,2013-03-17,4.2,1,750,2,0,1,0,0,3,1,3,0,0,"Escalatory event coinciding with the wider upsurge in hostilities in response to the ceasefire violations in Kashmir","http://digitalrightsmonitor.pk/telenor-pakistan-comes-under-a-cyber-attack-the-extent-of-damage-remains-unclear/","https://www.pcworld.com/article/2039257/attack-on-telenor-was-part-of-large-cyberespionage-operation-with-indian-origins-report-says.html",NA,NA,NA,NA,NA,NA
418,750770,"India","Pakistan","Seedoor phishing",2013-12-15,2016-03-17,3,3,770,3,0,1,0,0,3,2,11,0,0,"Phishing campaing on Indian Defense networks","https://tech.economictimes.indiatimes.com/news/internet/suspected-pakistani-cyber-attack-uses-surveillance-malware-against-indian-and-pakistani-entities-fireeye/51431822","https://www.hindustantimes.com/tech/pak-based-cyber-attack-of-use-phishing-to-target-indian-defence-sites/story-6nFi8D2FzFiOi45jN84bFO.html",NA,NA,NA,NA,NA,NA
419,750770,"India","Pakistan","Press Club of India hack",2014-10-08,2014-10-10,1,1,770,1,1,1,0,0,2,1,2,0,0,"Defacement of PCI website","https://www.indiatoday.in/india/story/hackers-post-anti-modi-comments-on-press-club-of-indias-website-209307-2014-10-09","https://www.gadgetsnow.com/tech-news/Hackers-from-India-Pakistan-in-full-blown-online-war/articleshow/44766898.cms",NA,NA,NA,NA,NA,NA
420,750770,"India","Pakistan","Pakistan People's Party hack",2014-10-09,2014-10-10,1,1,750,1,1,1,0,0,2,1,11,0,0,"Defacement of PPP networks","https://thehackernews.com/2014/10/Bilawal-Bhutto-Pakistan-peoples-party-hacked.html","https://www.pakistanpressfoundation.org/tag/ppp-website-hacked/",NA,NA,NA,NA,NA,NA
