"Cyberincidentnum","Dyadpair","StateA","StateB","Name","interactionstartdate","interactionenddate","method","targettype","initiator","cyber_objective","information_operation","objective_achievement","Concession","3rdpartyinitiator","severity","damage type","Crit Inf","Supply Ch","Ransomware","Political Objective","Sources1","Sources2","Sources3","Sources4","Sources5","Justice","Cert","FBI"
257,630666,"Iran","Israel","Duqu_B",2011-09-11,2011-12-01,3,3,666,3,0,1,0,1,3,2,14,1,0,"Malware to  gain remote access capabilities. To copy the uranium enriching plant so that the US could map the entire centrifuge set up.","https://www.symantec.com/content/dam/symantec/docs/security-center/white-papers/w32-duqu-11-en.pdf",NA,NA,NA,NA,NA,NA,NA
258,630666,"Iran","Israel","Israel Infrastructure Hack",2013-03-02,2013-06-08,4.2,2,630,4,0,0,0,0,5,2,15,0,0,"Netanyahu confirms Iran has been attmpting to hack its national infrastrcuture for several months","https://www.usatoday.com/story/tech/2013/10/27/ap-exclusive-israeli-tunnel-hit-by-cyber-attack/3281133/",NA,NA,NA,NA,NA,NA,NA
259,630666,"Iran","Israel","Rocket Kitten_B",2014-05-05,2015-09-06,3,1,630,3,0,1,0,0,3,2,17,0,0,"Iranian group targeting academic instititions and NGOs","https://www.reuters.com/article/us-cyber-research/iran-linked-cyber-spies-use-simple-yet-effective-hacks-report-idUSKBN1AA1US","https://codeanddagger.com/news/2018/7/27/what-is-rocket-kitten-purported-iranian-hacking-group",NA,NA,NA,NA,NA,NA
260,630666,"Iran","Israel","Duqu 2.0",2014-06-01,2015-06-30,3,2,666,3,0,1,0,0,3,2,14,1,0,"Duqu 2.0, for Iran, Israel injected the intrusion into systems hosting the events for the P5+1 nuclear negotiations with Iran","https://resources.infosecinstitute.com/duqu-2-0-the-most-sophisticated-malware-ever-seen/#gref",NA,NA,NA,NA,NA,NA,NA
261,630666,"Iran","Israel","Iranian multiple espionage",2014-07-01,2015-06-14,3,2,630,2,0,0,0,0,1,2,13,0,0,"Iran implicated in data theft campaign that hit multiple states including Israel, Saudi Arabia, Yemen","https://www.timesofisrael.com/iran-spied-on-israel-saudi-arabia-with-major-cyberattack/","https://www.haaretz.com/israel-news/iranian-hackers-tried-to-spy-on-israelis-1.5419529",NA,NA,NA,NA,NA,NA
276,630670,"Iran","Saudi Arabia","Shamoon",2012-08-15,2012-08-16,4.1,2,630,4,0,1,0,0,6,1,8,1,0,"Shamoon wiper malware wipes the data of 30,000 Aramco oil company computers","https://www.nytimes.com/2012/10/24/business/global/cyberattack-on-saudi-oil-firm-disquiets-us.html","https://ics-cert.us-cert.gov/jsar/JSAR-12-241-01B",NA,NA,NA,NA,NA,NA
277,630670,"Iran","Saudi Arabia","RasGas Attack",2012-08-20,2012-08-21,4.1,2,630,4,0,1,0,0,6,1,8,1,0,"Encore of Shamoon, this wiper malware targeted state owned natural gas company RasGas","https://www.wired.com/2012/08/hack-attack-strikes-rasgas/","https://www.theregister.co.uk/2012/08/30/rasgas_malware_outbreak/",NA,NA,NA,NA,NA,NA
278,630670,"Iran","Saudi Arabia","Rocket Kitten_C",2014-05-05,2015-09-06,3,2,630,3,0,1,0,0,3,2,13,0,0,"Iranian group targeting high profile officials to steal sensitive info","https://www.reuters.com/article/us-cyber-research/iran-linked-cyber-spies-use-simple-yet-effective-hacks-report-idUSKBN1AA1US","https://codeanddagger.com/news/2018/7/27/what-is-rocket-kitten-purported-iranian-hacking-group",NA,NA,NA,NA,NA,NA
279,630670,"Iran","Saudi Arabia","Iranian multiple espionage",2014-07-01,2015-06-14,3,2,630,2,0,0,0,0,3,2,13,0,0,"Iran implicated in data theft campaign that hit multiple states including Israel, Saudi Arabia, Yemen","https://www.timesofisrael.com/iran-spied-on-israel-saudi-arabia-with-major-cyberattack/","https://www.haaretz.com/israel-news/iranian-hackers-tried-to-spy-on-israelis-1.5419529",NA,NA,NA,NA,NA,NA
294,660666,"Lebanon","Israel","Gauss",2011-09-01,2012-08-08,4.2,1,666,3,0,1,0,1,3,2,13,0,0,"Data theft against Lebanese critical infrastructure and national security networks","https://www.computerworld.com/article/2597456/security0/gauss-malware--nation-state-cyber-espionage-banking-trojan-related-to-flame--stuxnet.html",NA,NA,NA,NA,NA,NA,NA
